No,crystal structure,Fe,Cr,Mn,Si,Co,Mo,Ni,C,Ti,N,B,P,S,Nb,Cu,Ta,Al,V,Mg,W,Zr,dr,tem,irrtype,disden,PreHe,dose
262,fcc,80.29,16.2,0,0.8,0,2.5,0,0.08,0.08,0,0,0.04,0,0,0,0,0,0,0,0,0.01,1.20E-06,813.5,1,3.00E+14,0,39
263,fcc,80.22,16.2,0,0.8,0,2.5,0,0.04,0.19,0,0,0.04,0,0,0,0,0,0,0,0,0.01,1.20E-06,813.5,1,3.00E+14,0,40
264,fcc,80.12,16.2,0,0.8,0,2.5,0,0.04,0.29,0,0,0.04,0,0,0,0,0,0,0,0,0.01,1.20E-06,813.5,1,3.00E+14,0,44
265,fcc,81.23,16.2,0,0.8,0,1.5,0,0.04,0.18,0,0,0.04,0,0,0,0,0,0,0,0,0.01,1.20E-06,813.5,1,3.00E+14,0,43
266,fcc,81.3,16.2,0,0.8,0,1.5,0,0.04,0.11,0,0,0.04,0,0,0,0,0,0,0,0,0.01,1.20E-06,813.5,1,3.00E+14,0,38
267,fcc,79.51,16.2,0,1.5,0,2.5,0,0.04,0.2,0,0,0.04,0,0,0,0,0,0,0,0,0.01,1.20E-06,813.5,1,3.00E+14,0,44
268,fcc,72.7926,15.1,0,0,0,0,12.1,0.005,0,0.0024,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,866.5,1,3.00E+14,0,24.5
269,fcc,68.687,15.6,0,0,0,0,15.7,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,866.5,1,3.00E+14,0,42.5
270,fcc,68.687,15.6,0,0,0,0,15.7,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,811.5,1,3.00E+14,0,11
271,fcc,65.6955,14.9,0,0,0,0,19.4,0.003,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,811.5,1,3.00E+14,0,21.5
272,fcc,60.6953,14.9,0,0,0,0,24.4,0.003,0,0.0017,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,811.5,1,3.00E+14,0,34.5
273,fcc,68.0961,11.8,0,0,0,0,20.1,0.002,0,0.0019,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,811.5,1,3.00E+14,0,51.5
274,fcc,72.1946,7.5,0,0,0,0,20.3,0.004,0,0.0014,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,811.5,1,3.00E+14,0,83
275,fcc,65.6955,14.9,0,0,0,0,19.4,0.003,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,811.5,1,3.00E+14,0,22.5
276,fcc,68.0961,11.8,0,0,0,0,20.1,0.002,0,0.0019,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,866.5,1,3.00E+14,0,82.5
277,fcc,65.6955,14.9,0,0,0,0,19.4,0.003,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,866.5,1,3.00E+14,0,51.5
278,fcc,72.7926,15.1,0,0,0,0,12.1,0.005,0,0.0024,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,811.5,1,3.00E+14,0,3
279,fcc,68.687,15.6,0,0,0,0,15.7,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,811.5,1,3.00E+14,0,13.5
280,fcc,65.6955,14.9,0,0,0,0,19.4,0.003,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,811.5,1,3.00E+14,0,23.5
281,fcc,60.6953,14.9,0,0,0,0,24.4,0.003,0,0.0017,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,811.5,1,3.00E+14,0,35
282,fcc,10.2979,14.6,0,0,0,0,75.1,0.001,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,811.5,1,3.00E+14,0,38
283,fcc,50.3949,15.1,0,0,0,0,34.5,0.003,0,0.0021,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,811.5,1,3.00E+14,0,80
284,fcc,72.7926,15.1,0,0,0,0,12.1,0.005,0,0.0024,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,866.5,1,3.00E+14,0,28
285,fcc,68.687,15.6,0,0,0,0,15.7,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,866.5,1,3.00E+14,0,46
286,fcc,65.6955,14.9,0,0,0,0,19.4,0.003,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,866.5,1,3.00E+14,0,53
287,fcc,60.6953,14.9,0,0,0,0,24.4,0.003,0,0.0017,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,866.5,1,3.00E+14,0,75
288,fcc,72.7926,15.1,0,0,0,0,12.1,0.005,0,0.0024,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,923.5,1,3.00E+14,0,50
289,fcc,68.687,15.6,0,0,0,0,15.7,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,923.5,1,3.00E+14,0,68
